input_row_key,input_company_name,input_country,input_city,n_candidates,chosen_veridion_id,chosen_company_name,chosen_country,chosen_city,chosen_website,match_score,runner_up_score,score_gap,distinctive_token_overlap,confidence_tier,review_action,review_note
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Karachi,5,,,,,,72.3,58.8,13.5,False,nerezolvat_nu_e_in_esantion,nerezolvat,Niciun candidat nu are legatura cu 24-Seven Media Network; cei mai apropiati sunt firme pakistaneze/indiene fara nicio legatura
1,2OPERATE A/S,DK,Aalborg,5,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,DK,Aalborg Municipality,2operate.com,108.1,79.8,28.3,True,incredere_ridicata_automat,,
2,3 STEP IT A/S,DK,Tønder Municipality,5,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,DK,Gladsaxe Municipality,3stepit.dk,108.6,57.5,51.1,True,incredere_ridicata_automat,,
3,3 STEP IT AS,NO,Oslo,5,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,FI,Helsinki,3stepit.com,85.9,83.9,2.0,True,incredere_ridicata_automat,,
4,3 Step IT Sweden AB,SE,Linköping,5,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,FI,Helsinki,3stepit.com,95.5,78.5,17.0,True,incredere_ridicata_automat,,
5,"3DEGREES GROUP, INC.",US,San Francisco,5,df61d790-93e4-11eb-aa66-9b8d95e2171b,3Degrees Inc.,US,San Francisco,3degreesinc.com,111.0,106.8,4.2,True,incredere_ridicata_automat,,
6,3Step IT Group Oy,FI,Helsinki,5,ffa215ab-2d41-11ed-beec-abfee3849e16,3Step IT Oy.,FI,Helsinki,karei.dev,111.0,111.0,0.0,True,incredere_ridicata_automat,,
7,A.T. KEARNEY AB,SE,,5,94cef5f9-93e4-11eb-8e19-198fb02d6f96,Kearney India,IN,Gurgaon,kearney.in,83.9,80.2,3.7,True,incredere_ridicata_automat,,
8,A. T. KEARNEY PTE. LTD,SG,,5,3bd57537-967f-11eb-a6b4-898f90f73868,Kearney,NO,Oslo,kearney.cn,88.8,83.9,4.9,True,verificat_manual,corectat,Am schimbat de la 'Binary Core' (o firma detinuta de Kearney) catre 'Kearney' insusi - reprezinta mai bine compania reala
9,AALBORG CITY,DK,Aalborg,5,272b8711-93e5-11eb-8e19-198fb02d6f96,AALBORG CITY,DK,Aalborg,aalborgcity.dk,111.0,103.9,7.1,True,incredere_ridicata_automat,,
10,ACCENTURE SERVICES AS,NO,Bærum,5,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,NO,Oslo,accenture.no,80.2,77.3,2.9,True,incredere_ridicata_automat,,
11,Accutics ApS,DK,Odense,5,347c7e63-93e5-11eb-90d2-e3355a7e800b,Accutics,DK,Copenhagen Municipality,accutics.com,106.7,93.7,13.0,True,incredere_ridicata_automat,,
12,ACOME,FR,Paris,5,fed105d4-93e4-11eb-9937-4fab995bf8ff,ACOME Company a Cooperative,FR,Paris,acome.com,111.0,89.5,21.5,True,incredere_ridicata_automat,,
13,"ACOME XINTAI CABLES CO., LTD.",CN,Xintai,5,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,CN,Chaoyang,,105.9,68.5,37.4,True,incredere_ridicata_automat,,
14,ADAPT A/S,DK,Copenhagen,5,e8772100-93e4-11eb-b5f6-816dd10ac7b0,Adapt Agency,DK,Copenhagen,adaptagency.com,111.0,96.7,14.3,True,incredere_ridicata_automat,,
15,ADECCO A/S,DK,Kongens Lyngby,5,3d1f6d90-1579-11ee-8c08-a59aa7cafccb,Adecco Hillerød,DK,Hillerød,,72.5,71.2,1.3,True,incredere_medie_de_verificat,,
16,ADECCO PERSONNEL PTE LTD,SG,,5,410a4cc3-93e5-11eb-9937-4fab995bf8ff,Adecco Singapore,SG,Singapore,adecco.com.sg,108.0,85.3,22.7,True,incredere_ridicata_automat,,
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,IE,Dublin,5,099ed3a8-1afb-11ec-a882-057f42292856,Adobe Systems Software Ireland,IE,Dublin 24,,109.8,100.0,9.8,True,incredere_ridicata_automat,,
18,ADVANCED DIGITAL BROADCAST SA,CH,Bellevue,5,47b15560-93e5-11eb-91fb-73d498260b10,ADB,CH,Pregny-Chambésy,adbglobal.com,105.5,105.5,0.0,True,incredere_ridicata_automat,,
19,Advanced Network Solutions Sdn Bhd,MY,Shah Alam,5,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Network Solutions Sdn. Bhd.,MY,Shah Alam,,111.0,89.4,21.6,True,incredere_ridicata_automat,,
20,ADVANSIA AS,NO,Oslo,5,a9f7869f-93e4-11eb-97db-273ba5953680,Advansia,NO,Oslo,advansia.no,111.0,105.9,5.1,True,incredere_ridicata_automat,,
21,AEGER GROUP AS,NO,Oslo,5,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Group,NO,Oslo,aeger.no,111.0,94.0,17.0,True,incredere_ridicata_automat,,
22,AFFIRMED NETWORKS INC,US,Acton,5,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Networks,US,Acton,affirmednetworks.com,111.0,81.2,29.8,True,incredere_ridicata_automat,,
23,Agg Power Technology (Fuzhou) Co Ltd.,CN,Fuzhou City,5,475daed5-0c7d-11ec-b9ed-b7cae580407c,AGG Power,CN,Fuzhou City,aggpower.cn,86.0,82.0,4.0,True,incredere_ridicata_automat,,
24,AIA Berhad,MY,Kuala Lumpur,5,000b3360-93e5-11eb-919a-b3f9a5ad205c,AIA Malaysia,MY,Kuala Lumpur,aia.com.my,84.1,82.0,2.1,True,incredere_ridicata_automat,,
25,AIG EUROPE S.A. NUF,NO,Oslo,5,379975dc-93e5-11eb-90d2-e3355a7e800b,AIG Norge,NO,Oslo,aig.no,104.8,61.1,43.7,True,incredere_ridicata_automat,,
26,AKTIESELSKABET RODOVRE CENTRUM,DK,Rødovre Municipality,5,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Rødovre Centrum,DK,Rødovre Municipality,,105.0,77.6,27.4,True,incredere_ridicata_automat,,
27,ALLEN OVERY SHEARMAN STERLING LLP,GB,London,5,19609053-0bbc-11ee-900c-9bee0d280070,A&O Shearman,GB,London,aoshearman.com,111.0,98.0,13.0,True,incredere_ridicata_automat,,
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,SG,Singapore,5,cfdf1a86-0be7-11ee-b777-4f8aa0e12aee,Altair Global Relocation,,,ovoaltair.com,88.6,82.4,6.2,True,incredere_ridicata_automat,,
29,"AMAZON WEB SERVICES, INC.",US,Seattle,5,c89d4e1b-bfde-11ec-92f4-876998402e2b,Amazon Web Services | API Gateway,US,Seattle,,111.0,106.2,4.8,True,incredere_ridicata_automat,,
30,AMAZON WEB SERVICES EMEA SARL,LU,,5,d7db1d69-93e4-11eb-90d2-e3355a7e800b,TKBEL,LU,Ettelbruck,tkbel.fr,105.9,95.3,10.6,True,incredere_ridicata_automat,,
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",NO,Oslo,5,4706bd71-93e5-11eb-aa66-9b8d95e2171b,Amazon Web Services EMEA,,,logitech-events.com,84.3,65.3,19.0,True,incredere_ridicata_automat,,
32,AMDOCS DEVELOPMENT LIMITED,CY,Limassol,5,0e49a2f2-13c3-11ec-905e-ffe44897cbcf,Amdocs,,,xacct.net,75.0,69.8,5.2,True,incredere_medie_de_verificat,,
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",DK,Copenhagen,5,00304b2c-20c9-11ee-be66-7b2fbd8ee4f0,American Express Corp.,US,New York,,62.6,58.2,4.4,True,incredere_medie_de_verificat,,
34,American Express Europe SA (Norway),NO,Oslo,5,d791fd63-e113-11ec-a72c-1538a9321a8e,American Express Company AS,NO,Oslo,americanexpress.no,95.8,84.8,11.0,True,incredere_ridicata_automat,,
35,ANALYSYS MASON AS,NO,Oslo,5,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Mason,IT,Milan,analysysmason.com,93.3,93.2,0.1,True,incredere_ridicata_automat,,
36,MASON SITE FINDER LIMITED,GB,Salford,5,e16f0714-729b-11ec-82c4-1d4ff65030ff,Mason Contract Services,GB,Grays,masongroup.co.uk,72.8,71.5,1.3,True,incredere_medie_de_verificat,,
