input_row_key,input_company_name,input_main_country,input_main_city,nivel_incredere,match_score,veridion_id,company_name,company_legal_names,main_country,main_region,main_city,main_postcode,main_street,company_type,year_founded,revenue,revenue_type,employee_count,employee_count_type,naics_2022_primary_label,main_industry,main_sector,website_url,primary_email,primary_phone,linkedin_url,short_description
1,2OPERATE A/S,Denmark,Aalborg,incredere_ridicata_automat,108.1,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,2operate A/S.,Denmark,North Denmark Region,Aalborg Municipality,9220,Niels Jernes Vej,Private,,28698964.0,modelled,75.0,modelled,Telecommunications Resellers,Telecommunication Services,IT&C Services,https://www.2operate.com/,info@2operate.com,4596356150.0,https://www.linkedin.com/company/2operate-as,"About us 2operate deliver high-quality software, services and consultancy with a focus on the operational and power efficiency of Radio access networks. Our software products ECO-RAN and 2solve are deployed by service operators around the world. We are highly-skilled in telecommunications, we are agile and fast."
2,3 STEP IT A/S,Denmark,Tønder Municipality,incredere_ridicata_automat,108.6,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Vandtårnsvej,Private,,,,,,,Banks & Financial Services,Finance & Insurance,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL,,4572118040.0,,"3 Step IT A/S. is a loans & financing company based in Gladsaxe Municipality, Denmark."
3,3 STEP IT AS,Norway,Oslo,incredere_ridicata_automat,85.9,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,3 Step IT Sweden AB. | 3 Step IT Singapore Pte Ltd. | 3 Step IT UK Limited,Finland,Uusimaa,Helsinki,00180,Mechelininkatu,Private,2004.0,111438832.0,modelled,600.0,modelled,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://sg.3stepit.com/,3stepit@3stepit.com,358105253200.0,https://www.linkedin.com/showcase/3stepitsverige,"Simple IT procurement, smarter IT asset management and sustainable IT asset disposal all wrapped in one solution - Technology Lifecycle Management"
4,3 Step IT Sweden AB,Sweden,Linköping,incredere_ridicata_automat,95.5,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,3 Step IT Sweden AB. | 3 Step IT Singapore Pte Ltd. | 3 Step IT UK Limited,Finland,Uusimaa,Helsinki,00180,Mechelininkatu,Private,2004.0,111438832.0,modelled,600.0,modelled,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://sg.3stepit.com/,3stepit@3stepit.com,358105253200.0,https://www.linkedin.com/showcase/3stepitsverige,"Simple IT procurement, smarter IT asset management and sustainable IT asset disposal all wrapped in one solution - Technology Lifecycle Management"
5,"3DEGREES GROUP, INC.",United States,San Francisco,incredere_ridicata_automat,111.0,df61d790-93e4-11eb-aa66-9b8d95e2171b,3Degrees Inc.,3Degrees Inc. | 3Degrees Group Inc.,United States,California,San Francisco,94104,Montgomery Street,Private,2010.0,,,,,Environmental Consulting Services,Engineering Services,Architecture & Engineering Services,http://3degreesinc.com/,unsubscribe@3degreesinc.com,18664769378.0,https://www.linkedin.com/company/3degrees,3Degrees is your global partner for transformative climate solutions.
6,3Step IT Group Oy,Finland,Helsinki,incredere_ridicata_automat,111.0,ffa215ab-2d41-11ed-beec-abfee3849e16,3Step IT Oy.,3Step IT Oy.,Finland,Uusimaa,Helsinki,,,,,,,1.0,extracted,,,,https://karei.dev/,mail@karei.dev,,,"Updating and working on a legacy document management software (C++, Qt)."
7,A.T. KEARNEY AB,Sweden,,incredere_ridicata_automat,83.9,94cef5f9-93e4-11eb-8e19-198fb02d6f96,Kearney India,Kearney India Private Limited | Kearney S.A. | Kearney Sp. z o.o. | Kearney B.V. | Kearney Inc.,India,Haryana,Gurgaon,,,Private,1926.0,1126651.0,modelled,150.0,modelled,Administrative Management and General Management Consulting Services,Business Consulting,Other Professional Services,https://www.kearney.in/,dataprivacy@kearney.com,911244069725.0,https://www.linkedin.com/company/kearney,"Trusted advisors to the world’s foremost organizations, we help our clients achieve immediate impact and growing advantage on their most mission-critical issues."
8,A. T. KEARNEY PTE. LTD,Singapore,,verificat_manual,88.8,3bd57537-967f-11eb-a6b4-898f90f73868,Kearney,Kearney K.K. | Kearney Inc. | Kearney Limited | Kearney Holdings Limited | A.T. Kearney Consultoria de Gestão Empresarial Ltda. | Kearney Middle East Ltd.,Norway,Oslo,Oslo,0166,Tullins Gate,Private,,,,,,Administrative Management and General Management Consulting Services,Business Consulting,Other Professional Services,https://www.kearney.cn/,dataprivacy@atkearney.com,97143622222.0,,"Trusted advisors to the world’s foremost organizations, we help our clients achieve immediate impact and growing advantage on their most mission-critical issues."
9,AALBORG CITY,Denmark,Aalborg,incredere_ridicata_automat,111.0,272b8711-93e5-11eb-8e19-198fb02d6f96,AALBORG CITY,,Denmark,North Denmark Region,Aalborg,9000,Lille Kongensgade,Private,,16195217.0,modelled,75.0,modelled,Executive Offices,Government,Government,https://aalborgcity.dk/,event@aalborgcity.dk,4525509001.0,https://dk.linkedin.com/company/aalborg-city,"Aalborg City - Her går shopping, oplevelser og kultur hånd i hånd."
10,ACCENTURE SERVICES AS,Norway,Bærum,incredere_ridicata_automat,80.2,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,,Norway,Oslo,Oslo,0158,Rådhusgata,Private,,,,,,Administrative Management and General Management Consulting Services,Business Consulting,Other Professional Services,https://www.accenture.no/,,4767126700.0,,"Accenture Norge is a business consulting company based in Oslo, Norway."
